categoria,pergunta,resposta
medicare-insurance,Does Medigap Cover Eyeglasses?,"Medigap plans do not provide coverage for routine eye exams and eye glasses. In short, you will need to secure coverage under a separate vision insurance plan to to cover routine services. Medicare Part B can provide coverage for some preventive and diagnostic eye exams for people at high-risk of certain conditions (e.g. diagnosing retinopathy in diabetics or mascular degeneration for age-related conditions). In combination with a Medigap plan, these exams can be covered at 100% (Medicare Part B - 80%, Medigap - the remaining 20%). You can check out the medicare.gov website for more specific information regarding condition/risk requirements for Medicare to pay benefits. I hope the information is helpful - please feel free to contact me for help with your Medigap plan needs, including quotes and plan comparisons, and if you have any other questions. Thanks very much."
health-insurance,Does Health Insurance Cover DNA Testing?,"In some cases health insurance will cover genetic DNA testing. Expectant parents that are at risk may qualify for testing of potential genetic illness. Genetic conditions such as Downs syndrome, Tay-Sachs and Sickle Cell are ilnesses that can be passed on to your children. If you or your doctor suspect genetic conditions could be in play that will affect your baby, ask your health insurance carrier if they will cover genetic DNA testing."
auto-insurance,Can You Drive Any Car On Fully Comprehensive Insurance?,"Comprehensive coverage on your car typically covers items other than collisions, such as fire, theft, hail and additional types of claims. Collision coverage is typically required if you are financing the vehicle. In almost every state, you must have liability coverage on the vehicle you are driving or show proof of financial responsibility. The minimum required limits of each state are different."
auto-insurance,How Much Is Car Insurance Through USAA?,The rates that they have are VERY competitive . In Montana it is VERY rare that anyone can get a lower rate then USAA. They have some fantastic rates and excellent coverage's. Many of times I have sent away clients telling them that If they are with USAA then they should stay with them. I have never heard anything bad about them at all. I will say the renters and homes are a tad high in our area but the autos are fantastic. Even If I do not write with them I have sent many clients to them.
health-insurance,How Do I Buy Health Insurance?,"You buy health insurance from an experienced broker (and our websites) to secure the lowest rates and the best advice. Typically, during Open Enrollment, you don't have to answer medical questions and pre-existing conditions are covered. You also may qualify for a federal tax subsidy that can reduce your premiums. An experienced broker can review your options, show you the best plans and help you enroll. Of course, you pay no fees."
auto-insurance,Does Car Insurance Go Down When You Get Married?,When you get married your car insurance should be less unless your spouse has a bad driving record or poor credit. Credit is a major factor for car insurance and when you get married some companies will average your credit scores and some will take the highest credit score. Make sure you ask about a multi-car discount as well.
auto-insurance,Can You Add A Car To Your Insurance Online?,"That is totally dependent on whether your insurance company will allow you to add cars to your policy online or not. I would recommend calling your insurance agent to add the vehicle, as you may qualify for discounts on your auto insurance for having multiple cars on the policy."
auto-insurance,Can You Add A Car To Your Insurance Online?,An application for auto insurance must have the signature of a licensed agent in the state of California. If you contact the company directly they will normally direct you to your agent. That is really the best place to start as the agent has most of the necessary information in his files.
retirement-plans,Can I Have More Than One Retirement Plan?,Assuming you mean more than one qualified plan the answer is yes. You could have a 401(k) and a cash balance plan. You could also have a 401(k) and a non-qualified plan that uses annuities and/or life insurance.
life-insurance,What Is The General Rule For Taxation Of Personal Life Insurance?,"Life Insurance proceeds to the Beneficiary, are not taxed. The proceeds are part of the estate of the policy holder, and count against any limits that may be imposed on that now deceased policy holder. It is rare that the policy holder would have exceeded their estate tax limits, but if so, it is taxed against the estate. Again, the Beneficiary takes Tax Free. Gary Lane, Registered Representative, New York Life. 949 797 2424. Thank you."
life-insurance,What Is The General Rule For Taxation Of Personal Life Insurance?,"Generally, life insurance proceeds are income tax free if left to a beneficiary that is a person or organization. Federal and state estate taxes can be charged if the life insurance proceeds of are sufficient amount to bring the estate over the exempted amount. The estate taxes may be paid by a separate life insurance policy, or taken out of the estate. The policyholder may stipulate whether or not the beneficiary needs to share in paying those."
disability-insurance,When Do You Need Disability Insurance?,"When do you need disability insurance? Quick answer? before you file a claim. The need for disability insurance is going to depend on the value a person places on protecting their paycheck. If they have passive income and money saved or investments they can liquidate, the need for disability insurance may not be that great. For most people though, savings and investments are for a later purpose in life like retirement. Liquidating your retirement assets before retirement simply leaves you with nothing far too quickly. So it is up to the individual to decide the need. The other thing, don't wait till a disability you recover from shows you the need. Disability insurance, at least good disability insurance, is extremely hard to get. Lots of declines or class ratings for second time around applicants. A second time around applicant is somebody who had something happen before, didn't have coverage and realized how important it really is to have. So they apply in hopes somebody will underwrite them. The problem is, many won't."
disability-insurance,When Do You Need Disability Insurance?,"Unfortunately when you need disability insurance it is too late to purchase it. You should have disability insurance the moment you start working and earning an income. At that point in your life unless you are independently wealthy, your ability to earn an income is your most valuable asset. Everyone should insure their most valuable asset because it is just too expensive to replace."
disability-insurance,What Is Residual Disability Insurance?,"Residual Disability Insurance is a rider or feature of a long term Disability policy that would pay a partial benefit if you are not performing at 100%. This can mean that you cannot work full time (or working full time, your output is less than 100% due to your illness or injury), and/or you have a loss of income beyond a predetermined percent (e.g. 15% or 20%). The Disability benefit paid by residual disability insurance is usually proportionate to the time, duties or income lost."
auto-insurance,Is Car Insurance Cheaper If You Are Married?,Under many carriers your auto insruance will be less costly if you are married rather than if you co-habitate with another person. Each carrier will set their own standards as to how this affects the rates that they provide. Contact a local agent to find out about coverage availability and pricing within your area.
auto-insurance,Can I Cancel My Car Insurance After A Claim?,Automobile insurance coverage is an at will policy. You may cancel the policy at any point that you wish and the insurance carrier will typically return the unused portion of the policy premium to you. Your current carrier will more than likely require you to sign one of their cancellation forms or have you send a signed letter to them to verify your desire to cancel the policy.
health-insurance,What Age Are Children Covered Under Health Insurance?,"Children can be covered under an existing health insurance plan the moment they are born. Dependent children can stay on a parent's health plan until age 26. Many children in America are covered under their State's Medicaid (or comparable) program due to financial constraints of the family. However, everyone has the right to purchase coverage on of off exchange as long as they have the means to pay for it. Having just had a baby girl only 2 months ago our Daughter was immediately put on to our group health plan through my Wife's employer and we had 30 days to decide whether we wanted to pay the additional premium and add her."
medicare-insurance,When Does Medicare Coverage Start?,"For most people, Medicare begins at age 65. If you are a U.S. citizen or legal resident and have lived in the U.S. for the last 5 years you are entitled to Medicare when you turn 65. You may also qualify for Medicare if you have been disabled (Social Security guidelines) for 2 years."
retirement-plans,Is A Deferred Compensation Plan A Retirement Plan?,"Deferred compensation plans are generally an additional executive retirement plan when a qualified plan contributions have reached their maximum. Although the employer can't deduct the plan until the employee's retirement date, the plan generally has a vesting schedule that can be a golden handcuff to the key executive to stay on until it's fully vested. The plans accumulate tax deferred and are taxable as ordinary income during distributions."
home-insurance,How Long Does A Home Insurance Claim Stay On Your Record?,Insurance companies usually review your claim history for the past 3 years but some companies are now looking back 5 years. Your rate and eligibility are determined based on the type of claim you had and the amount paid out. It's a tough market for home insurance right now especially with all the catastrophes we've experienced in the last two years. It's always best to talk to your agent first before filing a small claim.
life-insurance,What Is The Highest Rated Life Insurance Company?,"The highest rated life insurance companies in no particular order are: New York Life Northwestern Mutual TIAA-CREF USAA They all have the highest ratings a company can achieve by the credit rating agencies. Technically not an insurer, but a Fraternal, Knights of Columbus also has achieved ratings on par with the above listed companies."
auto-insurance,Much Does Auto Insurance Increase After Speeding Ticket?,"A speeding ticket will not always increase your auto insurance rate. For example, the insurer may check your driving record every 2-3 years. in those instances, you may have a few years of retaining specific discounts before there is a rate change. Of course, the carrier may check the record annually. It is also possible the ticket has no impact on your rates. Each company is different with separate sets of underwriting guidelines. When applying for a new policy, a recent ticket will have a bigger impact. Since the underwriting department bases your premium on your current driving record, it will likely impact the rate you are offered."
home-insurance,How Long Does It Take For Homeowners Insurance To Pay A Claim?,"Homeowner's insurance usually pays a claim very quickly. Of course, they do have to investigate the specifics of the claim, determine the damages and how much it costs, and match that up with the coverage amount and deductible. Often, replacement cost is included so the new value of an item may have to be determined. An experienced broker will always help you through this process."
home-insurance,Who Has The Cheapest Homeowners Insurance In Illinois?,I would encourage you to rethink this philosophy. Purchasing your homeowners insurance is often times not an ideal situation. You are entrusting your home to a carrier who is offering cut rate premiums when for a another $100 you can go with a highly rated insurance carrier. There is a tremendous difference between A+ rate AM Best Insurance carriers and carriers who are only concerned with taking your premiums.
auto-insurance,Does Auto Insurance Quotes Affect Your Credit Score?,"Many auto insurance companies will use credit scores to determine the premium rates to charge. Credit scores have proven to be very effective at predicting future claims. On the flip side auto insurance companies do not report claims data. When your report is accessed by the auto insurance company a soft inquiry is logged. Creditors and credit scores do not see soft inquiries, and therefor do not impact your score."
auto-insurance,Does Auto Insurance Quotes Affect Your Credit Score?,"Although many if not all insurance companies include credit among the elements used in order to determine your premium, the fact that your credit score is pulled has no affect on your score. It is merely another tool, along with loss history, driving record etc. that a company uses in order to analyze risk and determine the corresponding premium."
auto-insurance,Does Auto Insurance Quotes Affect Your Credit Score?,"No. Getting auto insurance quotes will not affect your credit score. This is a myth that just will not go away! If you were to apply for multiple credit cards or multiple loans, that would negatively affect your credit score. and because of that, many people make the false assumption that getting quotes with multiple auto insurance companies would also hurt your credit score. But that is simply not true."
auto-insurance,Does Auto Insurance Quotes Affect Your Credit Score?,"That is an excellent question! The getting of quotes has no effect upon your credit score at all. In the process of getting a quote, there is nooffer of credit like there is in applying for a loan or credit card. All you are asking for is an estimate of the cost, just like you would at a mechanic before you would have work done. (When you apply for a credit card, you are asking them to give you access to money that you don't have, so that offer or attempt will show up on your credit report. ) It is in your best interest to get a few quotes, so ask away. Thanks for asking!"
home-insurance,Does Homeowners Insurance Cover Roof Replacement?,"Damage to your roof is typically only covered if the damage is caused by a covered loss ( typically fire, smoke, or very strong winds ) and even then is subject to policy limits and possibly a deductible. Please read your policy completely to know what coverage is provided and what exclusions it may contain."
renters-insurance,Does Homeowners Insurance Cover Damage By Renters?,Most homeowners policies cover a specific location. This location is identified in the declarations of the policy. If you own other property which you hold out for rent you can cover those properties with a fire policy which is cheaper because there isnt much coverage for personal property. If the tenant damages that rental property it will be the definitions in the fire policy that will determine if coverage is available.
annuities,When Do Annuities Mature?,"Tax deferred annuities generally have maturity or contract dates. Some annuity contracts rollover to a new period. It's important to be aware of these dates, so you can decide whether to remain in the existing annuity or look for another alternative, one of which may be a 1035 exchange into a new annuity contract."
home-insurance,How Much To Budget For Homeowners Insurance?,"If you are contemplating the purchase of a home, the realtor can give you an estimate of the cost of a homeowners policy. Of course, a trusted insurance agent can provide a tailored made quote quickly. The agent should be able to guide you as you select appropriate limits, and set deductibles. Price is not the most important thing. Having the correct coverage at the time of loss is the most important thing, which is the value of the trusted insurance agent."
long-term-care-insurance,What Do I Need To Know About Long Term Care Insurance?,"There are a limited group of insurance companies left in the long term care market place. Premium prices vary between those carriers, but generally, they're within a reasonable spread of each other. Contract definitions are the most important part of product due diligence with morbidity product lines like long term care. It's important to seek out online experts who sell the top companies and can explain the policy provisions to your understanding. A leading long term care insurance company is Genworth."
medicare-insurance,Medigap Plan F may not cover catastrophic illness?,"Who told you that? Medigap plan F is the most comprehensive of all of the Medicare supplement plans. Plan F covers 100% of approved Medicare Part A and Part B charges, including any excess charges. Any Part A or Part B claim approved by Medicare will be paid by your Medigap plan."
auto-insurance,How Much Car Insurance Coverage Is Enough?,"There is no absolute appropriate answer. Suggest that you assess your family situation and go from there. For example, if you have one or more underage, licensed drivers in the family, the chances of an at-fault driving accident is greatly increased based on readily available statistics. Think about your financial exposure if you or a family member hits an object in the roadway at highway legal speed, loses control slightly and subsequently rear-ends another vehicle, injuring one or more passengers. This happens everyday. A policy with minimum liability limits could easily be exhausted, possibly leaving you exposed to paying the rest of the claim out-of-pocket. Your personal assets could be easily exposed in so many similar situations. Family budgets are tough to control at times, with insurance costs often a big factor. However, think about potential exposure of personal assets. Talk to several independent agents to discuss such matters in terms of needed and recommended insurance limits."
auto-insurance,How Much Car Insurance Coverage Is Enough?,"I suggest a number of different approaches. How much coverage would you want the person to carry if they injured you or your family or damaged your property in a car accident? If you cause an accident, injure family members riding with you and are from a state permitting intra-family suits, how much coverage would you want available to pay for their injuries? And of course, how much do you stand to lose? What is your net worth, the value of your earning power, and/or the value of your personal integrity? None of these methods will lead you to the perfect limit but they are the considerations I would suggest one think about when selecting the appropriate amount of insurance. In addition, I always suggest your uninsured/under-insured motorists coverage (the one that covers you, your family and possibly the passengers in your car in case the other car is not insured or poorly insured) be consistent with the coverage you carry in case you hurt someone else. However if none of these considerations apply, one must always be aware of the minimum limits required by most state laws."
health-insurance,Why Is My Health Insurance Going Up?,"Rates can go up because of claims in your area, or the insurer's perception that those claims will be increasing in number or size. Many people qualify for subsidized premiums under the Affordable care Act. Check out WEBSITELINK or call them at 1-800-318-2596. Although some areas have seen rates increase, nationwide we are in the fourth year of the lowest health insurance premium increases in 50 years. This reduction in increase is attributable to the Affordable Care act. Most specifically because many people who were previously un-insured will now be paying into the system, instead of having their cost of care shifted to those who do have insurance. I suggest a High Deductible Health Plan with a Health Savings Account. It can help you out on premiums when you are healthy and you set a little aside every year for when you do have an unfortunate medical event."
health-insurance,Why Is My Health Insurance Going Up?,"Your health insurance premium is based on many factors, including your age, zip code and type of coverage. Under the Affordable Care Act, although there are no medical questions, premiums can increase each year (and will) since many more claims may be paid out by insurers. However, your federal subsidy may reduce your premium, if you qualify."
home-insurance,Who Pays Home Insurance When Renting?,"The entity that is renting the property to the 'renter or renters' is typically the homeowner policyholder. It could be an organization, corporation or individual who holds the homeowner policy. The owner of the residence pays for their own policy. They are the 'landlord' in common terms. The renter may be required by the owner, to carry a renter's insurance policy but the two policies are different. Even if the renter is not required to have a renter's policy, it is a wise move to purchase one, as the premiums are usually relatively low and the coverages are fairly extensive, primarily for losses and damages to personal property and also for liability coverage for accidental injury to others."
life-insurance,Does Life Insurance Test For Adderall?,"Life insurance does not specifically test for the presence of Adderall in the blood, but the life insurance application for a medically underwritten policy will ask what medications you are taking. Taking Adderall for ADHD will not affect your rate too much, as long as you are able to hold down a job and lead a normal life with your Attention Deficit Hyperactivity Disorder. If you are taking Adderall for narcolepsy or other causes, just be sure to explain on the application what it is for and how controlled that condition is. Something explained is much better than something omitted or left to the imagination, when applying for life insurance."
life-insurance,Can Anyone Take A Life Insurance Policy Out On You?,"Life insurance relationships between the policy insured and its beneficiaries must establish insurable interest between parties. It must also justify the amount of coverage. And to the question at hand, no one can take a life insurance out on you without your signature as the policy insured on the life insurance application."
life-insurance,Can Anyone Take A Life Insurance Policy Out On You?,"The key is that the applicant must have an insurable interest in the insured. If there is a business relationship, or if you are a donor to an organization that depends upon your generosity, or if you owe money to a lender are just a few of the insurable interests that lie outside the normal family relationships. You cannot buy life insurance on a person just to gamble on a premature death. You must have an insurable interest."
retirement-plans,What Risks Will I Face In Retirement?,"Retirement should be about reducing stress. In order to do this we need to evaluate those things that could happen and develop strategies for dealing with them. At a minimum this will mean maintaining proper insurance coverage on your auto and home. It well might mean purchasing life insurance for the specific purpose of creating a legacy for those you love. If you do that you can spend your assets without any thought of conserving them for your heirs. The most pressing risk according to surveys is the risk of living too long. None of us wants to run out of money. The possibility of living a long time in retirement is quite high. Imbedded in this risk is the likelihood of a needing medical care and custodial care. Another risk is the result of the economy. It could go through major shifts and investments might have a period of decline that could jeopardize your retirement. At that point it is unlikely that you would be able to do anything about it as our ability to work diminishes with every passing year. Another risk that we face is that we could lose our spouse. This is inevitable but it could come sooner rather than later and that could have a profound impact on available money and support. Widows are often faced with very tough economic realities. Long term care requirements are the number one reason why a wealthier person would run out of assets in retirement. There are several strategies to address this risk including long term care insurance. There are several things a person can do to increase their income in retirement. One of the most significant things is to carefully select the date when social security and pension benefits start. The social security benefits increase the longer a worker waits up to the age of 70. This increases the benefit to a widow as well, should the worker die first. People often own a home. The value of a home minus the mortgage is known as home equity. This home equity can be used to derive income. A reverse mortgage can be put in place that will allow a person to remain in their home and yet withdraw loans against the home for income in retirement. The need for tax planning certainly doesnt end at retirement. There are tax-saving decisions available that will expand income. Your assets are not all taxed in the same way and by converting assets to income in a tax wise manner can save a great deal and expand spendable income in retirement. In all strategies there are trade-offs. If you take a reverse mortgage on the home the amount you can leave your children declines. There will be years in which medical expenses will greatly reduce your taxable income. A Roth IRA provides income that isnt subject to tax which could be a benefit to keep your income in a lower income tax rate bracket. One of the things that I think is most important in developing strategies for retirement is to establish decision points. These are dates or times when you and your spouse or perhaps including your children decide on where you will live, who will provide care if necessary, what assets can be gifted and other important decisions. I am getting ready for one of those conferences even as I write this. It is important to make decisions before there is a crisis. A widow told me a few days ago that moving out of her home into a down-sized facility was one of the most difficult tasks she had ever performed. The emotional and physical toll was enormous. She had planned to make the move several years in the future and she is convinced that she would hot have been able to make the decision, let along, and make the move at that later date. Decide now when you will downsize. Decide now who will assist you or when you will begin to get outside help. There are so many decisions and it is always best to make them before it is absolutely necessary. These decisions can have a profound effect on insuring the financial success of your retirement."
health-insurance,Does AARP Have Group Health Insurance?,"AARP is not an insurer. They are an organization that sells their name and logo to insurance companies. I do not believe that any insurance company that offers group health through employers does it using the AARP logo. With the health care reform it is less likely that any company would add that logo because they all have to operate on tighter margins. Paying for the AARP logo adds cost to the product and adds no benefit. If you are searching for group health insurance for your employees, you should call a health insurance broker and let him quote you several brands of insurance."
retirement-plans,"I'm Forced To Take RMD's At My Age, But I Would Like To Just Leave This Money To My Kids. Any Suggestions?","If you're healthy (and even better if you're married and your spouse is also healthy) you can leverage your RMDs (required minimum distributions) to purchase life insurance, that if set up correctly, can distribute a tax free lump sum that can be split among your beneficiaries. You could consider taking more distributions than your RMDs and do the same for your grandchildren."
medicare-insurance,What Percentage Of U.S. Healthcare Is Medicare?,"Roughly 50 million people are covered by Medicare out of a population in the 330 million range so that is about 15% of the population. You didn't ask, but about 70 million are covered by Medicaid. That means roughly a third of the population is covered by taxpayer funded government health insurance."
life-insurance,What Exactly Does Voluntary Term Life Insurance Mean?,"Voluntary Term Life Insurance is a provision of group life insurance, where the employee may purchase additional coverage beyond what the employer provides. Voluntary Term Life Insurance can also extend to the spouse or dependents of the employee. The employee is able to purchase the additional coverage at group rates."
life-insurance,Can Child Support Take Life Insurance?,"Child support depends upon the person paying it to live. The children and the ex-spouse have an insurable interest in the person owing the child support. When the attorneyss hammer out the agreement the parent with custody should insist on two things, cooperation from her ex-spouse to secure life insurance, and that the child support include enough to cover the insurance premium in addition to other expenses. However, dont use transferred life insurance to do this job. Have the spouse with custody apply for the policy and be owner, payer and beneficiary. That way you know that the policy will be in force when death occurs. This has happened to my clients."
life-insurance,Can Child Support Take Life Insurance?,This is more of a family law question than a question that can be answered by life insurance professionals. You should contact an attorney with family law experience for advice. It is not unusual for divorce decrees to address and give direction with respect to how life insurance is to be handled.
life-insurance,Can Child Support Take Life Insurance?,"The question is a little vague, but if you mean can life insurance be part of the child support arrangement as a component of custody, the answer is yes. Many attorneys require the spouse to carry life insurance on themselves for the benefit of the children for their ongoing support in the event of death."
life-insurance,Which Companies Will Issue Life Insurance To The Mentally Ill?,"Since mental illness covers such a broad range and level of diagnoses and symptoms, that is hard to answer with a general answer. Most companies will cover mild, controlled depression. On the other extreme, an adult institutionalized due to severe MR/ID may need to take a guaranteed issue policy, when old enough to qualify for it. To find out which company will have the lowest price for the person you have in mind, visit a website that specializes in impaired risk and share the details about this person (age, diagnoses, treatment, etc). For an agent who knows what they are doing, it won't take them long to find the best company for someone suffering from mental illness."
life-insurance,Is There A Limit On How Much Life Insurance I Can Purchase?,"Video Transcript: Hello, everyone. I'm Steve Savant, syndicated financial columnist and host of the weekly online talk show ""Steve Savant's Money: The Name of the Game."" I'm answering questions from insurancelibrary.com, and I got this question. It says, ""Is there a limit on how much life insurance I can purchase?"" Well, let's say I'm going to purchase it on myself, and I need to be able to use financial justification. Financial justification simply means that I have to be able to verify and validate the reason I have coverage. And if I have huge income and I have a massive amount of assets and I'm looking at a future date on which I think I will die based on my life expectancy, then I can go all the way up to those limits. Sooner or later, I'm going to hit a limit because I will not be able to justify it. So, can you buy it on as much as you want? The answer is no. You have to always base your thinking on what do I need to cover all my liabilities, my taxes, and transfer issues at death, and when do I think I'm going to die. Those are the numbers I'm looking for at whatever inflation rate of return that I use as my reference point. Well, that's our consumer question for today. If you have any questions, just submit them to www.insurancelibrary.com."
life-insurance,Is There A Limit On How Much Life Insurance I Can Purchase?,"Yes, there is a limit on how much life insurance can be purchased by one person. That limit is based on income, assets, debts, and age. Generally speaking, young adults can purchase approximate 25 times their annual income in life insurance coverage, while seniors can purchase about 10 times their annual income. However, assets enter heavily into the calculation for seniors, so that even if a person in their 70's is living off Social Security, they could qualify for over $1,000,000 of life insurance if they have many assets. The company you purchase your policy from can make a difference in how much life insurance you qualify for. So it never hurts to shop from a broker who can help you get the most coverage."
life-insurance,Is There A Limit On How Much Life Insurance I Can Purchase?,"Sure. Financial institutions always set limits on the money they make available. For example, banks limit how much money they will lend you for a mortgage or business loan. Credit card companies limit the amount of credit they will extend you. Venture-capital firms limit the amount of money they will invest in your company. Life insurance companies generally look at your cash flow, debt, and net worth. Pretty basic stuff. Things get exciting when you have exceptional needs. For example, how much money insurance will they let you buy on a minor child? Or an elder parent? Or a former spouse? Certainly, there are limits in all these situations. But the negotiations about the maximum available becomes interesting."
medicare-insurance,Does Medicare Cover EGD?,"Esophagogastroduodenoscopy (EDG) is considered a covered expense under Medicare. However, if you are not on traditional Medicare and you have either an advantage orsupplementalmedicareplan than you will want contact your benefits verification hotline (on your cards) to not only make sure, but see how your benefits are covered. For more answers to similar questions please visit www.clminsure.com or call 561-320-2978"
long-term-care-insurance,How Do You Know If You Need Long Term Care Insurance?,"Based on the medical and extended care spending habits of seniors with the additional life expectancy predicted for the future, the likelihood of long term care is significant. Another senior factoid is your family history, where predispositions to disease or a culture of confinement occurred in you lineage, you may need long term care."
medicare-insurance,Do I Need Supplemental Insurance With Medicare Advantage?,"There are different kinds of supplemental plans that are sometimes coupled with a Medicare Advantage plan. As others have pointed out, you do not need a traditional Medicare supplement (Medigap) plan in addition to your Advantage plan. Some carriers offer cancer plans, hospital indemnity plans and other single purpose plans. You will be told you need these plans to fill the gaps in Medicare Advantage plans and cover your out of pocket expenses in the event of a hospitalization or severe illness. Truth is, you don't need these add on plans. Just a waste of your money and a way for the agent pushing them to pad his or her wallet at your expense. If you feel you will have difficulty paying your out of pocket expenses which can be several thousand dollars under a Medicare Advantage plan, you should consider switching to traditional Medicare and buying a Medicare supplement (Medigap) plan. Medigap plan N is a good transition product or for those on a tight budget, Medicare supplement plan Hi F. #GeorgiaMedigapPlanRates #GeorgiaMedicarePlans #GaMedigapQuotes"
medicare-insurance,Do I Need Supplemental Insurance With Medicare Advantage?,"You do not need and it is actually unethical and against Medicare guidelines to sell you a Medicare Supplement with a Medicare Advantage Plan. There are some policies that will help pay some of the out of pocket costs of a Medicare Advantage and in some cases they may be a good option. These are not Medicare Supplements. If however the premium gets too high you are better off in a Medicare Supplement plan rather than a Medicare Advantage rather than pay a premium for the supplemental hospital coverage, Make sure you have a good agent who can help you decide your best options based on your individual situation."
medicare-insurance,Do I Need Supplemental Insurance With Medicare Advantage?,"No you do not need supplemental insurance when you are on Medicare Part C aka:Medicare Advantage. In fact if you keep your Medicare Supplement while you are on Medicare Advantage it will not pay anything. Medicare Supplements only pay the gaps after Medicare A&B pay their part. When you are on Medicare Advantage, A&B do not pay at all."
home-insurance,Does Homeowners Insurance Cover Dog Bites Off Property?,"That is a great question! I sincerely hope that you are just asking to know, and not because you need to know...Contact your insurance company immediately. They may or may not cover the claim, based upon whether you had the dog when the policy was issued or not, the breed of the dog itself, and the wording of your liability portion of the policy. Dog bites and insurance companies are really case by case things, so contact your agent and ask. Good luck, and thanks for asking!"
home-insurance,Does Homeowners Insurance Cover Dog Bites Off Property?,Generally the liability coverage offered under a homeowners policy covers the activities of your pets away from the property. The policies generally restrict their coverage considerably for dog bites. You might find a claim denied because of the breed of the dog. This is a very sensitive area and I would urge you to contact your agent immediately if your pet has bitten someone.
renters-insurance,When Should I Get Renters Insurance?,"You should get a renters insurance policy before you occupy a unit that requires that you carry renters insurance. You should get a policy before you put your personal property into a unit because the landlord is not responsible for your property, even if his unit burns to the ground, with your property inside. You should get a policy before you move into a new unit in case someone helping you move is injured and it results in a lawsuit. The landlord doesnt have any responsibility for that either."
home-insurance,Does Home Owners Insurance Cover Theft?,"Most policies will cover up to a certain limit, but there are many different types of dwelling policies from basic to broad, etc. The best thing to do is to talk to your agent so to help you understand the coverages and what the limits to the policy are because they will vary."
medicare-insurance,Does Medicare Cover Fertility Treatments?,"Reasonable and necessary tests and treatments for fertility are covered by Medicare, when fertility would be expected. Obviously, those on Medicare who would use this benefit are those who receive Medicare due to being disabled 2+ years, as those going on Medicare at age 65 would not be expected to become fertile. However, Medicare Part D does not cover drugs that promote fertility."
renters-insurance,Will Renters Insurance Cover A Broken Window?,"Renters insurance covers your personal belongings in the event of a covered loss. Since the window is owned by the landlord if there is any coverage, his insurance would pay. Even if there were coverage, however, most window replacements would fall very close to the deductible of most policies. It would not make sense to turn in a claim."
medicare-insurance,How Do You Notify Medicare Of A Death?,All you have to do is call 1-800-Medicare or your local Social Security office. If the person was on Medicaid you can notify your case worker and they will handle the notifications. Do not cash any Social Security checks received after the death of the individual. The will have to be returned.
disability-insurance,Is Disability Insurance Good?,"Disability Insurance is a good part of a solid financial profile. That is because disability insurance protects your income, without which you have no finances to save or invest. Suffering a long term disability can be devastating, but with disability insurance, you will receive partial income replacement so that you can get through it with fewer scars."
life-insurance,Does Chase Offer Life Insurance?,"Chase partners with other companies to provide life insurance to its customers, but does not offer life insurance itself. There used to be a company called Chase Insurance, which started as Kemper Life, then became Zurich Life, then OneLife, then Chase Insurance. Protective Life Insurance Company bought Chase Insurance in 2006."
life-insurance,Why Was Life Insurance Created?,The idea of insurance has been around for centuries. It started as a way to reduce risks with cargo on ships being lost at sea. Life insurance just became a product to transfer risk when it came to an important financial loss of life in business transactions. From there it has evolved to modern day life insurance needs in which we are all familiar.
life-insurance,Why Was Life Insurance Created?,Life insurance is a way to share an unacceptable risk. The premature loss of a human being is a tragedy. That loss can create a severe financial impact. Sharing that risk was the motivation to establish the first life insurance societies and later companies.
life-insurance,Why Was Life Insurance Created?,"The idea of insurance first began as a way of reducing risk for given transactions. The purpose of insurance as we've come to know it today is to shift the risk of a catastrophic financial event to a third party (the insurance company) by paying a premium to the carrier in exchange for coverage. In life insurance, the policy creates cash upon the death of the insured. Many people buy life insurance for different reasons - such as paying off debts so the family members won't be stuck with those bills (e.g. mortgage, cars, etc.), income replacement, estate planning, leaving a legacy to loved ones, just to name a few."
home-insurance,Does Homeowners Insurance Cover Shed?,Most homeowners policies include coverage for other structures. Other structures typically are defined small buildings on your property like sheds. The amount of coverage can vary but many carriers provide up to ten percent of the homes coverage value for these. If you have a structure that is of higher value then you may wish to have an endorsement added to your policy to provide the proper level of coverage for the structure.
renters-insurance,Does Renters Insurance Cover Everyone In The Apartment?,Great Question: Renters insurance covers the named insured and his wife and kids. But for example if you live with a roommate you need to have separate policy for each of you guys. The insurance company wants each roommate to have his own personal renters policy to cover his personal property.
renters-insurance,Does Renters Insurance Cover Everyone In The Apartment?,Renters insurance provides coverage for the insured and the insured's immediate family that reside in the same premise. If you have other pesons living in the same residence they will have to purchase their own renters insurance policy to have proper coverage in the event of a covered event occuring.
home-insurance,Much Home Owners Insurance Do I Need In A Condo?,"Great Question. Condo Insurance covers you for liability if some one falls in your condo. Also cover you for fire, theft and water damage. You would alos need to have coverage for the inside of your unit for the wall in case of a fire and your unit was damaged. Good Luck"
